Team bRQZFQqQ: 294347366 points, rank 3
Team lZzHwFzNNXnsgEDLjrn: 1902634146 points, rank 2
Team SQEGaR: 1729876167 points, rank 5
Team mzBwOEgMdEHTpQG: 21879626 points, rank 16
Team lZzHwFzNNXnsgEDLjrn: 1902634146 points, rank 3
Team SQEGaR: 1729876167 points, rank 8
Team lZzHwFzNNXnsgEDLjrn: 1902634146 points, rank 4
Team lZzHwFzNNXnsgEDLjrn: 1902634146 points, rank 4
Team SQEGaR: 1729876167 points, rank 8
Team BbLEd: 2117045640 points, rank 3
Team bWZcibDXuH: 1065951690 points, rank 22
Team qhqEhU: 1822828018 points, rank 7
Team aUwmFoUmfstCkxo: 1990009399 points, rank 4
Team khOtYf: 1031450489 points, rank 30
Team dQdFooIVXKsrRroaNqd: 367405411 points, rank 42
Team jfrWbMtmaZbMETg: 863823317 points, rank 33
Team qhqEhU: 1822828018 points, rank 11
Team wgzAWTuUV: 785699822 points, rank 41
Team sOVsLdVyacvjBUBTIb: 2064081705 points, rank 4
Team zAxMJCFkqEfZfnx: 1366392458 points, rank 28
Team WwVojEXqEZJmxbK: 427006667 points, rank 68
Team qhqEhU: 1775905742 points, rank 18
Team QPvmMVkEgLOwNdBadqt: 1901814509 points, rank 15
Team UQkcvse: 1937431630 points, rank 11
Team VYBvniEJtkjrtv: 1042693992 points, rank 60
Team ShKsPVOGnOcDgh: 1135994312 points, rank 62
Team lGvYgza: 1921855467 points, rank 21
Team jiSPX: 2912416893 points, rank 3
Team TCnBaaZ: 956630831 points, rank 78
Team hgwwNSf: 1349237802 points, rank 57
Team bRQZFQqQ: 1230411085 points, rank 64
Team FlfdKWJXeOo: 3029980382 points, rank 2
Team EiAJTVnFqXOjY: 1231057023 points, rank 65
Team QWECWiySFA: 1609848349 points, rank 41
Team NBZQhgdv: 1847058078 points, rank 30
Team BXxXjHd: 381292982 points, rank 111
Team pACYCzzcGSYEwkbdJiKI: 886578150 points, rank 88
Team SDAZGokPSaDJRqdCVFa: 1542656049 points, rank 47
Team iMcfWSrKUdw: 1169922895 points, rank 75
Team dqeLMinwUZwjq is ELIMINATED
Team mycxfmhhynrbahWiNPXB: 1855058305 points, rank 30
Team cupwbQGmUXFUcwtqJ: 1086305624 points, rank 88
Team ezliMXmqLQfyM: 1541363898 points, rank 57
Team EtbNdfEmMusZuMQsqWS: 25443784 points, rank 169
Team PsBJRMLcxGh: 1853053826 points, rank 35
Team QoOLnsCmAiXLWPSUIF: 893699261 points, rank 107
Team qcCzdgilomIy: 851405407 points, rank 111
Team jxoMmQgiQNawdPKtw: 1838053914 points, rank 39
Team WNClpFMlaJyVDiQY: 2032417559 points, rank 23
Team RLufqYydxkgnhStrJ: 1651374106 points, rank 54
Team lZzHwFzNNXnsgEDLjrn: 1902634146 points, rank 35
Team wbNWuZkUEYDCBUuyCz: 1920653662 points, rank 34
Team rFLQQjVy: 1028199779 points, rank 115
Team pCBKUjEucJwmozYqp: 1481821803 points, rank 75
Team FlCYbPulrjMHS is ELIMINATED
Team qvFlSgiTYEWqRfLH: 757342141 points, rank 147
Team QPvmMVkEgLOwNdBadqt: 1901814509 points, rank 40
Team eyEgYzSPbGDqevejBGM: 820694437 points, rank 148
Team sBFqykECT: 962246055 points, rank 141
Team EdrrdgKRFWQF: 995821430 points, rank 137
Team hxzIKGPWJHxxPquxJji: 1365796930 points, rank 103
Team kcswCB: 1876734289 points, rank 45
Team cQvTEYEphPhrlpbksp: 763967185 points, rank 169
Team JBNdOzifqInf: 623483506 points, rank 185
Team FKsXaQpd: 603394834 points, rank 189
Team mzBwOEgMdEHTpQG: 564955285 points, rank 203
Team SxAEFLssWTeZSsFIF: 196149030 points, rank 244
Team zMymvBOQ: 148071364 points, rank 251
Team jctRMcSiLrPs: 88044192 points, rank 263
Team GCVnNBzlbAYEV: 1054351310 points, rank 155
Team aUwmFoUmfstCkxo: 3245944724 points, rank 1
Team iSPbaGuziOMamQmsQIi: 676063015 points, rank 200
Team fRORfmbwIgvxuWvEl: 1802731022 points, rank 71
Team WNClpFMlaJyVDiQY: 2032417559 points, rank 37
Team simbGXTUNBt: 442588855 points, rank 255
Team HSAUkvFaAwOfDntF: 532017423 points, rank 251
Team sdJjjjCTtRFywewKrkqU: 2117033119 points, rank 23
Team qxJUqlak: 80508103 points, rank 336
Team khlifOnHvHxcvQNsjAdY: 988705223 points, rank 213
Team pjVpQNBEnEa: 1525148366 points, rank 135
Team YCyWD: 1652639182 points, rank 114
Team LUeXlMldebG is ELIMINATED
Team SSjrzqoT: 33395342 points, rank 360
Team frpGKlhdYzGOBRFzf: 840466076 points, rank 245
Team EtbNdfEmMusZuMQsqWS is ELIMINATED
Team fXPIXk: 2105370276 points, rank 32
Team VVuxkCXsFSHQeEVV: 149296151 points, rank 341
Team kcswCB: 1876734289 points, rank 78
Team WOiftaXgpLFyskgScji: 2140032550 points, rank 29
Team hvtJxVadbomPMJxnUUY: 1989577726 points, rank 56
Team BiIozj: 1518699966 points, rank 146
Team RnJayBVftVdWun: 1208784280 points, rank 196
Team PPUHnwFrZfnXbmmfaMw: 994421562 points, rank 232
Team sdJjjjCTtRFywewKrkqU: 2117033119 points, rank 33
Team jhuSI: 969289412 points, rank 253
Team sFDsFTJgAcavFz: 761550939 points, rank 298
Team OUAQzQRKScxlNmfoZ: 1537608453 points, rank 163
Team VqGZPmNU is ELIMINATED
Team uJQZtL: 1619415506 points, rank 141
Team xkXVoC: 1895612037 points, rank 88
Team BXxXjHd: 381292982 points, rank 364
Team xQxxxEMubGzjGHM: 198595825 points, rank 406
Team bRQZFQqQ: 1230411085 points, rank 220
Team FbfQovorb: 1330298165 points, rank 204
Team fRORfmbwIgvxuWvEl: 1802731022 points, rank 110
Team WNClpFMlaJyVDiQY: 2032417559 points, rank 60
Team qcCzdgilomIy: 851405407 points, rank 303
Team AiXbOkyeHN: 1902222086 points, rank 90
Team lrVuhALMXOQooQ: 1320186846 points, rank 218
Team dAgKqd: 636894410 points, rank 368
Team iIpJkmvXksdUHBB: 555934175 points, rank 382
Team EvOshacBoCrgdvVvsvn is ELIMINATED
Team wVZOdnnvtCDRPslRHuc: 936177630 points, rank 297
Team YbjycdhrKaCHzjxKWdG: 1740297770 points, rank 138
Team lMoQIxNgorY: 556280299 points, rank 385
