Team VOtncMYS: 1201660623 points, rank 2
Team vGmQbBejtSkV: 1639749976 points, rank 1
Team vGmQbBejtSkV: 1639749976 points, rank 1
Team AvOtDpINra: 1809674941 points, rank 2
Team zXzsLv: 1584823924 points, rank 5
Team vGmQbBejtSkV: 1639749976 points, rank 4
Team ImLJNN: 1741548279 points, rank 5
Team LqWazEzXUHlwXGQmQ is ELIMINATED
Team zXzsLv: 1584823924 points, rank 7
Team LqWazEzXUHlwXGQmQ is ELIMINATED
Team pcjffzifjYIf: 1399037074 points, rank 15
Team vGmQbBejtSkV: 1639749976 points, rank 8
Team HhFDjytqie: 1578678740 points, rank 13
Team EioGZUVSQYrWLLde: 2000213810 points, rank 8
Team KfDIVyaDcvvyxDtUV: 3032262522 points, rank 2
Team AvOtDpINra: 3100074814 points, rank 1
Team smpbsW: 233555426 points, rank 72
Team UzFTiqvS: 1193789477 points, rank 46
Team YmEUZJQ: 1548434269 points, rank 27
Team MnfKbAyiTATVHuBjPAXP: 986889050 points, rank 53
Team jrsYN: 1065243550 points, rank 51
Team lvvLsKOZx: 77724909 points, rank 91
Team YmEUZJQ: 1548434269 points, rank 27
Team QZVQkKvoBnVbmq: 2358546822 points, rank 3
Team GjyaxJcOtXf: 1466502805 points, rank 30
Team smpbsW: 233555426 points, rank 103
Team pcjffzifjYIf: 1399037074 points, rank 40
Team AIGWOhIgMT: 1285123220 points, rank 49
Team qdmwozuwMgfhnMSuJbc: 1493795481 points, rank 34
Team WdiVC: 929454217 points, rank 76
Team FYgPMflKiJAqfGLXmu: 1949981272 points, rank 18
Team UzFTiqvS: 1193789477 points, rank 65
Team nSrFJgvZKHEoGIO: 1641617414 points, rank 30
Team gAdwcdBL: 669989578 points, rank 107
Team YmEUZJQ: 1548434269 points, rank 44
Team FYgPMflKiJAqfGLXmu: 1949981272 points, rank 19
Team LIYTEm: 2139397984 points, rank 7
Team HUnarEky: 386199755 points, rank 133
Team DrCptVY: 3085812554 points, rank 2
