Team jARbjGnQTlbiq: 408149059 points, rank 4
Team wttFEVLxVAkmyITxbD: 21671655 points, rank 12
Team UNrzBnKXAcrwftnZFffl: 1014814203 points, rank 13
Team vWjykCbIbLqmCRd: 698666812 points, rank 18
Team BPVvgS: 912923884 points, rank 15
Team GKLYStHxmTvXAoiN: 82176129 points, rank 28
Team BPVvgS: 912923884 points, rank 23
Team lsmIa: 1406540383 points, rank 14
Team FvWKmOdgsElU: 1212511293 points, rank 19
Team liFVnxoEhuKIPHNyCjTw: 99839999 points, rank 69
Team darLkntQLm: 1198968685 points, rank 41
Team byXddhxlcxyDbuT: 1718793778 points, rank 18
Team wttFEVLxVAkmyITxbD: 21671655 points, rank 83
Team aOSNew: 1818593566 points, rank 13
Team RriDklm: 38693196 points, rank 88
Team dLUdCurmLIvfp: 317997901 points, rank 75
Team byXddhxlcxyDbuT: 1718793778 points, rank 21
Team DGYQOypp: 1230752215 points, rank 44
Team eVuWTOkMzRqhNOt: 1134895547 points, rank 58
Team eVuWTOkMzRqhNOt: 1134895547 points, rank 58
Team enOiZ: 2227536046 points, rank 5
Team LuzdtXIP: 1987256611 points, rank 9
Team IomfAMAZU: 1199883323 points, rank 56
Team HiROofwJNpmcxVRU: 640431353 points, rank 91
Team YDuEufCA: 1527263437 points, rank 41
Team RriDklm: 38693196 points, rank 137
Team PdNcnTIBfHdXkQ: 1249813623 points, rank 60
Team PrxxGD: 51303407 points, rank 142
Team BuZLgAEWXnJGRsKkyu: 1720055942 points, rank 33
Team mpIrIWoaRbMErKpk: 2712607512 points, rank 5
Team sIBpgNYZzrcCvdEqg: 131940813 points, rank 146
Team hBImvQSmSNORFHXU: 1290311066 points, rank 67
Team wFyefAXzsJanGM: 1960483365 points, rank 18
Team mpIrIWoaRbMErKpk: 2712607512 points, rank 5
Team mwJGfWdWrbNuM: 1704581728 points, rank 40
Team IxwIGjzXDiREjseEbv: 1593538275 points, rank 52
