Team WyVxuDxYm: 1484725006 points, rank 1
Team GdESePDerdoW: 1058832042 points, rank 4
Team mlHVtbliaUrrarmfdfZ: 936171115 points, rank 9
Team IOdmpBSqKTPcOltRJe: 2131450553 points, rank 2
Team APpSY: 298561381 points, rank 24
Team BFHsPErSxOpUsf: 1016429651 points, rank 19
Team GNZHQALrSjXzHBpBOC: 293920602 points, rank 34
Team GdESePDerdoW: 1058832042 points, rank 21
Team VAzfeRrLpvYOdXd: 621791531 points, rank 28
Team IOdmpBSqKTPcOltRJe: 2131450553 points, rank 2
Team eDhvZjFCRwcvganB: 1826390702 points, rank 13
Team nIPkustlhDPHBf is ELIMINATED
Team GcPpeSphyRhrlaUpTy: 426613424 points, rank 64
Team cPcNfbUBoznl: 1587829629 points, rank 30
Team ZJFmeG: 3075789747 points, rank 2
Team PDpSHpNFaqqt is ELIMINATED
Team MdLpB: 1946771374 points, rank 16
Team oJJxymbEpQhSImzgaF: 592438211 points, rank 80
Team LkUPCJavnYciSM: 1933206489 points, rank 17
Team NAuMhMcnxBisRJpBE: 1227235808 points, rank 58
Team rHrWOOCcEWKd: 1926439792 points, rank 21
Team MdLpB: 1946771374 points, rank 19
Team txHvVPNYSOqFjxode: 1846522698 points, rank 27
Team lMSJxNYjWrjFwacNe: 24761138 points, rank 136
Team gGfSFfeVGXqTk: 1279690262 points, rank 59
Team dIuPMeMQlDUEO: 456896684 points, rank 112
Team ijOoaEr: 1736656008 points, rank 35
Team yqvBWscilS: 646144182 points, rank 100
Team LkqDNrejV: 2114204689 points, rank 12
Team zmYIpVlslcxWoJVPpLA: 884306960 points, rank 91
Team qcdlFqeU: 350201863 points, rank 137
Team AaiUAzGSMXwbpQhH is ELIMINATED
Team ijOoaEr: 1736656008 points, rank 43
Team bdMAolvdxsfj: 825186596 points, rank 118
Team JMBTSgEJT: 998074374 points, rank 109
Team TYQGHFgx: 559625522 points, rank 155
Team DJFQXXgvHkC: 748865644 points, rank 138
Team lWWqaMQwy is ELIMINATED
Team PlKmNougTJZ: 401245957 points, rank 176
Team fJHqyKgdXNcDGwkO: 895161253 points, rank 134
Team ykTbOr: 1955331270 points, rank 29
Team pzrViYySYzAPkTNQcs: 564655246 points, rank 175
Team pawygNw: 1262875811 points, rank 94
Team lZrRCiIkTsQKZzxcPKe: 1627649670 points, rank 66
Team ztPEYewxOhCXMxMMl: 915318222 points, rank 153
Team AoqBReMHTsIesWzJ: 1253061705 points, rank 105
Team gwIpZeDMEJHtgdueX: 1332107974 points, rank 96
Team zgOJhB: 1110336739 points, rank 124
Team xOwgucWEzUnvRBsqJGqq: 1750174014 points, rank 54
Team NAuMhMcnxBisRJpBE: 1227235808 points, rank 114
Team zmfoJT: 15037683 points, rank 277
Team mpKLMZODMOmHdBxX: 1067817998 points, rank 135
Team EkOuLOFockTdoetKd: 789084872 points, rank 187
Team REVsDqHJw: 43936629 points, rank 282
Team gyfLWU: 226571662 points, rank 259
