Team brjFEj: 1939652216 points, rank 1
Team iXOlKBgjcIqLJz: 888725522 points, rank 8
Team ckIYrEVXzXKMBA: 666122377 points, rank 11
Team SIkNisKMKSiKrug: 1936259826 points, rank 3
Team ckIYrEVXzXKMBA: 666122377 points, rank 17
Team xfmRCl: 346451314 points, rank 26
Team TfzlpDehpTh: 1154568054 points, rank 20
Team osefCGhaoVZBOsy: 1388134418 points, rank 14
Team yPABirkNwmCUIx: 305583505 points, rank 32
Team fXEcmsNuYT is ELIMINATED
Team lUtlOmS: 1819578835 points, rank 13
Team wALdU: 2034025004 points, rank 7
Team fXEcmsNuYT is ELIMINATED
Team KIKGbJ: 2150509377 points, rank 3
Team LmNGfT: 1978998760 points, rank 11
Team wxfuDTKG: 18217821 points, rank 47
Team wcwlhyKusITYXngX: 2022641096 points, rank 8
Team iXOlKBgjcIqLJz: 888725522 points, rank 35
Team nrmoriZYfYZHgeNw: 1661314624 points, rank 23
Team fxTfMAXlUgBHTiQoi: 2098419902 points, rank 8
Team fxTfMAXlUgBHTiQoi: 2098419902 points, rank 8
Team PVosFRlAXLyeL: 1290839465 points, rank 32
Team CgxSuWiYCwLQefcRc: 1795865445 points, rank 19
Team ZquHDsfwIwBNvpd: 201004982 points, rank 67
Team bAMEMzpYZOug: 392296718 points, rank 72
Team zAMtkP: 1114024840 points, rank 44
Team hZXkqzGxwv: 741542242 points, rank 67
Team xfmRCl is ELIMINATED
Team DIpSsUbLoOhiiYGe: 1505646732 points, rank 34
Team UnRAcmuiXOUnnrywME: 845272900 points, rank 69
Team bAMEMzpYZOug: 2050505435 points, rank 17
Team wALdU: 2034025004 points, rank 18
Team vTcUd: 473317862 points, rank 92
Team OgUwIVzPImuemDIoLQ: 213956564 points, rank 106
Team bAMEMzpYZOug: 2050505435 points, rank 18
Team nrmoriZYfYZHgeNw: 1661314624 points, rank 35
Team abVBUki: 2052297881 points, rank 16
Team QDSWqwN: 1050423545 points, rank 75
Team qxgLfTzxsjnLGCbDJpFA is ELIMINATED
Team wQldpJWRXJ: 535623245 points, rank 129
Team NboaAAo: 615518320 points, rank 127
Team GhiJucRg: 1066043507 points, rank 91
Team YnAsaq is ELIMINATED
Team derhUwQh: 1802243475 points, rank 34
Team xSAmHyloYmi: 699349639 points, rank 122
Team gsMUcmKcHJzX: 1500704943 points, rank 57
Team VWgIWsXeoGA: 2099334984 points, rank 16
Team ZbBgigZ: 1153015269 points, rank 92
Team iSHhXSBuJETx: 469237805 points, rank 146
Team XqCGNLK: 1890637951 points, rank 31
Team PGaUQsaIJlZuu: 473830306 points, rank 144
Team PVosFRlAXLyeL: 1607327850 points, rank 52
Team fXEcmsNuYT is ELIMINATED
Team DIpSsUbLoOhiiYGe: 270685808 points, rank 176
Team MTzDshRQd: 2834527125 points, rank 4
Team JiRAzfdps: 1232277209 points, rank 92
Team aNwglvUzUBGhorPGm: 1284675556 points, rank 87
Team rwKUEeXgLFPaVnfgxQrx: 488228852 points, rank 167
Team ciAZhcwP: 900219487 points, rank 135
Team lnOmNYQVjVdBDseDBgs: 150481192 points, rank 200
Team YdosYYHZXiPXh: 1868768688 points, rank 41
Team qpUFiPGiavumxU: 912069340 points, rank 135
Team fBEonebstTUR: 644430599 points, rank 168
Team FzlPbgfobQOsjl: 1101224960 points, rank 125
Team VrpIJWQqceoUD: 865130428 points, rank 153
Team YXZuLKahKWOZLdhmY: 918920859 points, rank 144
Team brjFEj: 1232437397 points, rank 111
Team WqFhFRIfBYXdZcaNi: 1445196430 points, rank 84
Team gMhSBFmBBjYRKh: 1939878322 points, rank 44
