Apple at (6, 0) eaten at step 7
Apple at (11, 0) eaten at step 12
Apple at (60, 0) eaten at step 61
Apple at (76, 0) eaten at step 77
Apple at (99, 0) eaten at step 100
Apple at (106, 0) eaten at step 107
Apple at (112, 0) eaten at step 113
Apple at (114, 0) eaten at step 115
Apple at (118, 0) eaten at step 119
Apple at (123, 0) eaten at step 124
Apple at (124, 0) eaten at step 125
Apple at (139, 0) eaten at step 140
Apple at (156, 0) eaten at step 157
Apple at (168, 0) eaten at step 169
Apple at (174, 0) eaten at step 175
Apple at (175, 0) eaten at step 176
Apple at (204, 0) eaten at step 205
Apple at (208, 0) eaten at step 209
Apple at (214, 0) eaten at step 215
Apple at (222, 0) eaten at step 223
Apple at (227, 0) eaten at step 228
Apple at (248, 0) eaten at step 249
Apple at (290, 0) eaten at step 291
Apple at (294, 0) eaten at step 295
Apple at (305, 0) eaten at step 306
Apple at (308, 0) eaten at step 309
Apple at (309, 0) eaten at step 310
Apple at (329, 0) eaten at step 330
Apple at (331, 0) eaten at step 332
Apple at (335, 0) eaten at step 336
Apple at (368, 0) eaten at step 369
Apple at (379, 0) eaten at step 380
Apple at (404, 0) eaten at step 405
Apple at (451, 0) eaten at step 452
Apple at (452, 0) eaten at step 453
Apple at (477, 0) eaten at step 478
Apple at (493, 0) eaten at step 494
Apple at (496, 0) eaten at step 497
Apple at (506, 0) eaten at step 507
Apple at (510, 0) eaten at step 511
Apple at (565, 0) eaten at step 566
Apple at (575, 0) eaten at step 576
Apple at (582, 0) eaten at step 583
Apple at (589, 0) eaten at step 590
Apple at (609, 0) eaten at step 610
Apple at (626, 0) eaten at step 627
Apple at (638, 0) eaten at step 639
Apple at (655, 0) eaten at step 656
Apple at (668, 0) eaten at step 669
Apple at (672, 0) eaten at step 673
Apple at (678, 0) eaten at step 679
Apple at (681, 0) eaten at step 682
Apple at (687, 0) eaten at step 688
Apple at (730, 0) eaten at step 731
Apple at (735, 0) eaten at step 736
Apple at (738, 0) eaten at step 739
Apple at (745, 0) eaten at step 746
Apple at (751, 0) eaten at step 752
Apple at (752, 0) eaten at step 753
Apple at (771, 8) eaten at step 780
Apple at (771, 16) eaten at step 788
Apple at (771, 30) eaten at step 802
Apple at (771, 36) eaten at step 808
Apple at (771, 39) eaten at step 811
Apple at (771, 50) eaten at step 822
Apple at (771, 65) eaten at step 837
Apple at (771, 66) eaten at step 838
Apple at (771, 71) eaten at step 843
Apple at (771, 73) eaten at step 845
Apple at (771, 87) eaten at step 859
Apple at (771, 89) eaten at step 861
Apple at (771, 103) eaten at step 875
Apple at (771, 108) eaten at step 880
Apple at (771, 143) eaten at step 915
Apple at (771, 168) eaten at step 940
Apple at (771, 178) eaten at step 950
Apple at (771, 191) eaten at step 963
Apple at (771, 203) eaten at step 975
